F0001 | Anokhin conditioned-reflex adaptation monograph | is classified as a | book |  | assertion | 
F0002 | Anokhin conditioned-reflex adaptation monograph | is authored by | Anokhin, P. K. |  | assertion | 
F0003 | Anokhin conditioned-reflex adaptation monograph | is dated | 1974 |  | assertion | 
F0004 | Anokhin conditioned-reflex adaptation monograph | is published by | Pergamon Press |  | assertion | 
F0005 | Baars global-workspace theory book | is classified as a | book |  | assertion | 
F0006 | Baars global-workspace theory book | is authored by | Baars, B. J. |  | assertion | 
F0007 | Baars global-workspace theory book | is dated | 1988 |  | assertion | 
F0008 | Baars global-workspace theory book | is published by | Cambridge University Press |  | assertion | 
F0009 | Chalmers hard-problem consciousness paper | is classified as a | journal article |  | assertion | 
F0010 | Chalmers hard-problem consciousness paper | is authored by | Chalmers, D. J. |  | assertion | 
F0011 | Chalmers hard-problem consciousness paper | is dated | 1995 |  | assertion | 
F0012 | Chalmers hard-problem consciousness paper | is published in | Journal of Consciousness Studies | vol 2 no 3 pp 200-219 | assertion | 
F0013 | Damasio somatic-marker neuroscience book | is classified as a | book |  | assertion | 
F0014 | Damasio somatic-marker neuroscience book | is authored by | Damasio, A. R. |  | assertion | 
F0015 | Damasio somatic-marker neuroscience book | is dated | 1994 |  | assertion | 
F0016 | Damasio somatic-marker neuroscience book | is published by | G. P. Putnam's Sons |  | assertion | 
F0017 | Dennett multiple-drafts consciousness book | is classified as a | book |  | assertion | 
F0018 | Dennett multiple-drafts consciousness book | is authored by | Dennett, D. C. |  | assertion | 
F0019 | Dennett multiple-drafts consciousness book | is dated | 1991 |  | assertion | 
F0020 | Dennett multiple-drafts consciousness book | is published by | Little, Brown and Co. |  | assertion | 
F0021 | Dingle et al simplicity-bias paper | is classified as a | journal article |  | assertion | 
F0022 | Dingle et al simplicity-bias paper | is authored by | Dingle, K. |  | assertion | 
F0023 | Dingle et al simplicity-bias paper | is authored by | Camargo, C. Q. |  | assertion | 
F0024 | Dingle et al simplicity-bias paper | is authored by | Louis, A. A. |  | assertion | 
