# state after step 8   (field 37 words)
F0001 | checking a root by substitution | is in the field of | student | 0.36 | assertion | sensory; cost 14
F0002 | a root of the equation | is in the field of | student | 0.36 | assertion | sensory; cost 4
F0003 | expanding brackets | is in the field of | student | 0.34 | assertion | carried; cost 11
F0004 | the unknown x | is in the field of | student | 0.31 | assertion | carried; cost 2
F0005 | the quadratic formula | is in the field of | student | 0.31 | assertion | carried; cost 2
F0006 | the discriminant | is in the field of | student | 0.26 | assertion | carried; cost 3
F0007 | the square root | is in the field of | student | 0.25 | assertion | carried; cost 1
F0008 | student | has tail statistic | intensity | 0.00 | assertion | -
F0009 | student | has tail statistic | valence | 0.00 | assertion | -
F0010 | student | has tail statistic | count | 0.00 | assertion | -
F0011 | student | has tail statistic | spread | 0.00 | assertion | -
F0012 | checking a root by substitution | is in memory of | student | 0.36 | assertion | cost 14
F0013 | a root of the equation | is in memory of | student | 0.36 | assertion | cost 4
F0014 | expanding brackets | is in memory of | student | 0.34 | assertion | cost 11
F0015 | the unknown x | is in memory of | student | 0.31 | assertion | cost 2
F0016 | the quadratic formula | is in memory of | student | 0.31 | assertion | cost 2
F0017 | the discriminant | is in memory of | student | 0.26 | assertion | cost 3
F0018 | the square root | is in memory of | student | 0.25 | assertion | cost 1
F0019 | why the formula works | is in memory of | student | 0.29 | assertion | cost 21
F0020 | two roots, one root, or none | is in memory of | student | 0.20 | assertion | cost 5
F0021 | a linear equation | is in memory of | student | 0.50 | assertion | cost 3
F0022 | the area of a square | is in memory of | student | 0.30 | assertion | cost 4

# trace — the analyst's view, not the reader's
#   evicted why the formula works (0.31): no room: 21 words, 9.0 left
#   evicted the sum and product of the roots (0.20): no room: 23 words, 3.0 left
#   evicted a linear equation (0.10): below k
#   understood: checking a root by substitution
#   understood: a root of the equation
#   felt complex numbers: 0.06
#   felt the fundamental theorem of algebra: 0.17
#   felt Vieta's theorem: 0.25
