# state after step 8   (field 25 words)

# --- field of consciousness: what the reader can report
F0001 | why this look | is in the field of | thinker | 0.43 | assertion | carried; cost 6
F0002 | the look itself | is in the field of | thinker | 0.39 | assertion | sensory; cost 1
F0003 | the word red | is in the field of | thinker | 0.37 | assertion | carried; cost 3
F0004 | a tidy explanation | is in the field of | thinker | 0.33 | assertion | associative via the mechanism; cost 2
F0005 | the thinking has a look too | is in the field of | thinker | 0.32 | assertion | carried; cost 6
F0006 | other people | is in the field of | thinker | 0.31 | assertion | carried; cost 2
F0007 | only pointing | is in the field of | thinker | 0.28 | assertion | carried; cost 2
F0008 | the mechanism | is in the field of | thinker | 0.20 | assertion | sensory; cost 3
F0009 | a tidy explanation | attracts | thinker | much | assertion | the motivational component of the image, as a proportion of the Field's pull
F0010 | why this look | repels | thinker | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0011 | the look itself | attracts | thinker | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0012 | the thinking has a look too | attracts | thinker | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0013 | only pointing | attracts | thinker | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0014 | thinker | wants more | a tidy explanation than why this look | somewhat | assertion | the comparison the reader can actually make
F0015 | thinker | has consciousness components | 2 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0016 | thinker | wants | the look itself, red as a wavelength, only pointing | - | assertion | retrospective: what pulled over the last steps, named by the images
F0017 | thinker | is surprised by itself | 2 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0018 | thinker | notices about itself | came to mind | - | assertion | a kind of self-surprise seen more than once has become a name
F0019 | thinker | notices about itself | forgot | - | assertion | a kind of self-surprise seen more than once has become a name
F0020 | thinker | has tail statistic | intensity | 0.41 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0021 | thinker | has tail statistic | valence | -0.41 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0022 | thinker | has tail statistic | count | 1.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0023 | thinker | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0024 | thinker | does | reads on | - | assertion | the program that has the channel
F0025 | thinker | attends to | reality | 0.35 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.08

F0026 | thinker | has met self-surprise | forgot | 3 | assertion | objective: how often this kind has occurred
F0027 | thinker | has met self-surprise | came to mind | 2 | assertion | objective: how often this kind has occurred
F0028 | thinker | has met self-surprise | did not follow | 1 | assertion | objective: how often this kind has occurred
F0029 | thinker | has items at control levels | L1 2, L2 2, L4 9, L5 3, L6 2 | - | assertion | 1 reacted only; 2 conscious as something, gone; 4 named; 5 related; 6 generative. L3 not representable yet

# --- long-term memory
F0030 | why this look | is in memory of | thinker | 0.43 | assertion | cost 6
F0031 | the look itself | is in memory of | thinker | 0.39 | assertion | cost 1
F0032 | the word red | is in memory of | thinker | 0.37 | assertion | cost 3
F0033 | a tidy explanation | is in memory of | thinker | 0.33 | assertion | cost 2
F0034 | the thinking has a look too | is in memory of | thinker | 0.32 | assertion | cost 6
