# state after step 4   (field 21 words)

# --- field of consciousness: what the reader can report
F0001 | same steps, same result every time | is in the field of | child | 0.37 | assertion | carried; cost 6
F0002 | steps done one after another | is in the field of | child | 0.36 | assertion | sensory; cost 4
F0003 | it must come to an end | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0004 | following instructions | is in the field of | child | 0.32 | assertion | carried; cost 2
F0005 | every step must be exact | is in the field of | child | 0.29 | assertion | carried; cost 3
F0006 | child | has consciousness components | understanding 4, none 1 | - | assertion | items by the need each answers to; more than one is a split
F0007 | child | has tail statistic | intensity | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0008 | child | has tail statistic | valence | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0009 | child | has tail statistic | count | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0010 | child | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0011 | child | does | reads on | - | assertion | the program that has the channel
F0012 | child | attends to | reality | 0.37 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.00

# --- long-term memory
F0013 | same steps, same result every time | is in memory of | child | 0.37 | assertion | cost 6
F0014 | steps done one after another | is in memory of | child | 0.36 | assertion | cost 4
F0015 | it must come to an end | is in memory of | child | 0.36 | assertion | cost 6
F0016 | following instructions | is in memory of | child | 0.32 | assertion | cost 2
F0017 | every step must be exact | is in memory of | child | 0.29 | assertion | cost 3
F0018 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0019 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0020 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0021 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0022 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0023 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3

# --- need portrait
F0024 | steps done one after another | has satisfaction delta | understanding | 0.4 | assertion | understood
F0025 | every step must be exact | has satisfaction delta | understanding | 0.4 | assertion | understood
F0026 | same steps, same result every time | has satisfaction delta | understanding | 0.4 | assertion | understood
F0027 | it must come to an end | has satisfaction delta | understanding | 0.4 | assertion | understood
F0028 | child | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0029 | child | has conflict level | 0.07 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's

# --- trace
#   understood: it must come to an end
#   need mass in the Field: understanding 1.44, safety 0.10
#   mode reality: reality yield 0.37, fantasy yield 0.00
#   felt a Turing machine: 0.00
#   felt the halting problem: 0.22
#   felt formal semantics: 0.28
