# state after step 1   (field 20 words)

# --- field of consciousness: what the reader can report
F0001 | the unknown x | is in the field of | student | 0.60 | assertion | sensory; cost 2
F0002 | a linear equation | is in the field of | student | 0.50 | assertion | sensory; cost 3
F0003 | a worked example | is in the field of | student | 0.47 | assertion | associative via an example; cost 2
F0004 | a quadratic equation | is in the field of | student | 0.36 | assertion | sensory; cost 3
F0005 | x squared | is in the field of | student | 0.20 | assertion | sensory; cost 2
F0006 | an example | is in the field of | student | 0.20 | assertion | sensory; cost 1
F0007 | the example equation | is in the field of | student | 0.20 | assertion | sensory; cost 7
F0008 | a worked example | attracts | student | very much | assertion | the motivational component of the image, as a proportion of the Field's pull
F0009 | a quadratic equation | attracts | student | much | assertion | the motivational component of the image, as a proportion of the Field's pull
F0010 | student | wants more | a worked example than a quadratic equation | far | assertion | the comparison the reader can actually make
F0011 | student | has consciousness components | 3 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0012 | student | wants | a worked example | - | assertion | retrospective: what pulled over the last steps, named by the images
F0013 | student | is surprised by itself | 1 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0014 | student | has tail statistic | intensity | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0015 | student | has tail statistic | valence | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0016 | student | has tail statistic | count | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0017 | student | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0018 | student | does | reads on | - | assertion | the program that has the channel
F0019 | student | attends to | reality | 0.34 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.08

F0020 | student | has met self-surprise | came to mind | 1 | assertion | objective: how often this kind has occurred
F0021 | student | has items at control levels | L1 1, L4 8, L5 1 | - | assertion | 1 reacted only; 2 conscious as something, gone; 4 named; 5 related; 6 generative. L3 not representable yet

# --- long-term memory
F0022 | the unknown x | is in memory of | student | 0.60 | assertion | cost 2
F0023 | a linear equation | is in memory of | student | 0.50 | assertion | cost 3
F0024 | a worked example | is in memory of | student | 0.47 | assertion | cost 2
F0025 | a quadratic equation | is in memory of | student | 0.36 | assertion | cost 3
F0026 | x squared | is in memory of | student | 0.20 | assertion | cost 2
F0027 | an example | is in memory of | student | 0.20 | assertion | cost 1
F0028 | the example equation | is in memory of | student | 0.20 | assertion | cost 7
F0029 | the square root | is in memory of | student | 0.40 | assertion | cost 3
F0030 | expanding brackets | is in memory of | student | 0.40 | assertion | cost 2
F0031 | the area of a square | is in memory of | student | 0.30 | assertion | cost 4
F0032 | a worked example | has pulled | student | 0.59 | assertion | what the retrospective 'wants' is made of
F0033 | a quadratic equation | has pulled | student | 0.36 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: none 5, getting the answer right 1, understanding 1
#   pull of each image: a worked example +0.59, a quadratic equation +0.36
#   the reader's 'wants' resolves to getting the answer right; the program is understanding  <- self-opacity: the report and the drive differ
F0034 | a quadratic equation | has satisfaction delta | understanding | 0.45 | assertion | understood
F0035 | student | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0036 | student | has conflict level | 0.58 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   the area of a square (0.08): below k

# --- trace
#   understood: a quadratic equation
#   need mass in the Field: understanding 0.60, getting the answer right 0.35
#   mode reality: reality yield 0.34, fantasy yield 0.08
#   felt complex numbers: 0.00
#   felt the fundamental theorem of algebra: 0.00
#   felt Vieta's theorem: 0.00
#   self-model: predicted nothing; program -
#   self-surprise came to mind: a worked example
#   control levels: a quadratic equation L5, the unknown x L4, a linear equation L4, a worked example L4, x squared L4, an example L4, the example equation L4, the square root L4, expanding brackets L4, the area of a square L1
