# state after step 5   (field 16 words)

# --- field of consciousness: what the reader can report
F0001 | you cannot know which until you look | is in the field of | child | 0.36 | assertion | sensory; cost 7
F0002 | the pattern from many tries | is in the field of | child | 0.36 | assertion | sensory; cost 3
F0003 | looking changes it | is in the field of | child | 0.29 | assertion | carried; cost 3
F0004 | both at once until you look | is in the field of | child | 0.29 | assertion | carried; cost 3
F0005 | child | has consciousness components | understanding 4 | - | assertion | items by the need each answers to; more than one is a split
F0006 | child | has tail statistic | intensity | 0.90 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0007 | child | has tail statistic | valence | 0.90 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0008 | child | has tail statistic | count | 3.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0009 | child | has tail statistic | spread | 0.64 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0010 | child | does | reads on | - | assertion | the program that has the channel
F0011 | child | attends to | reality | 0.35 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.00

# --- long-term memory
F0012 | you cannot know which until you look | is in memory of | child | 0.36 | assertion | cost 7
F0013 | the pattern from many tries | is in memory of | child | 0.36 | assertion | cost 3
F0014 | looking changes it | is in memory of | child | 0.29 | assertion | cost 3
F0015 | both at once until you look | is in memory of | child | 0.29 | assertion | cost 3
F0016 | looking at it | is in memory of | child | 0.20 | assertion | cost 3

# --- need portrait
F0017 | tiny things | has satisfaction delta | understanding | 0.4 | assertion | understood
F0018 | looking at it | has satisfaction delta | understanding | 0.4 | assertion | understood
F0019 | both at once until you look | has satisfaction delta | understanding | 0.4 | assertion | understood
F0020 | you cannot know which until you look | has satisfaction delta | understanding | 0.4 | assertion | understood
F0021 | looking changes it | has satisfaction delta | understanding | 0.4 | assertion | understood
F0022 | the pattern from many tries | has satisfaction delta | understanding | 0.4 | assertion | understood
F0023 | child | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0024 | child | has conflict level | 0.00 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   looking at it (0.23): no room: 3 words, 2.0 left
#   tiny things (0.18): below k
#   a spinning coin (0.18): below k
#   you cannot tell yet (0.14): below k
#   heads or tails (0.12): below k
#   ants (0.10): below k

# --- trace
#   understood: the pattern from many tries
#   need mass in the Field: understanding 1.44
#   mode reality: reality yield 0.35, fantasy yield 0.00
#   felt wavefunction: 0.17
#   felt probability amplitude: 0.29
#   felt collapse: 0.20
