F0001 | consciousness | is classified as | approximation | | hedged-assertion | Section 2.2 premise
F0002 | qualia-status | is raised as | open question | | question | given approximate consciousness
F0003 | standard qualia discourse | focuses on | content-qualia (redness, sourness, pain) | | rebutted-claim | philosophy of mind
F0004 | seeing-operator | is harder to explain than | redness-quale | | assertion |
F0005 | F0004 | is raised to rebut | F0003 | | assertion |
F0006 | redness-quale | is classified as | relational structural property | | assertion |
F0007 | redness-quale | is composed of | wavelength discrimination | | assertion |
F0008 | redness-quale | is composed of | contrast | | assertion |
F0009 | redness-quale | is composed of | valence | | assertion |
F0010 | redness-quale | is composed of | associative geometry | | assertion |
F0011 | seeing-operator | resists reduction to | physics | | assertion |
F0012 | to-be-operator | resists reduction to | physics | | assertion |
F0013 | physics-and-mathematics domain | lacks | privileged vantage point | | denial |
F0014 | physics-and-mathematics domain | lacks | intrinsic insideness | | denial |
F0015 | Observer | reports | first-person perspective | | assertion |
F0016 | Beingness-quale | is defined as | the "am" in "I am" | | definition |
F0017 | Beingness-quale | is not classified as | sensory quality | | denial |
F0018 | Beingness-quale | is a necessary condition for | sensory-quale-being-experienced | | assertion |
F0019 | Beingness-quale | is reduced to | Observer-function | | assertion | this framework, Section 2.2
F0020 | first-person insideness | arises from | self-reference irreducibility | | assertion |
F0021 | self-referential system | is unable to resolve | external causal determinants | | assertion |
F0022 | F0021 | is a sufficient condition for | F0023 | | assertion |
F0023 | self-referential system | exhibits | apparent causal break | | assertion |
F0024 | self-referential system | concludes | existence-not-caused-by-environment | | assertion |
F0025 | existence-not-caused-by-environment | is classified as | Beingness-quale | | definition |
F0026 | F0024 | is elaborated by | F0025 | | assertion |
F0027 | Beingness-quale | is not classified as | substance | | denial |
F0028 | Beingness-quale | is not classified as | field | | denial |
F0029 | Beingness-quale | is not classified as | emergent physical property | | denial |
F0030 | Beingness-quale | is classified as | systematic computational error | | assertion |
F0031 | Beingness-quale | is classified as | stable structural feature of self-report | | assertion |
F0032 | F0030 | is a sufficient condition for | F0031 | | assertion |
F0033 | F0019 | implies | F0034 | | assertion |
F0034 | content-qualia reduction (redness, sourness, pain) | follows from | Beingness-quale grounding | | assertion |
F0035 | mental state | is defined by | structural role in Observer architecture | | definition |
F0036 | structural role | is composed of | activated topology | | definition |
F0037 | structural role | is composed of | influence on subsequent computation | | definition |
F0038 | structural role | is composed of | behavioral manifestation | | definition |
F0039 | token-sequence "sour" | activates | relational vector constellation | | assertion |
F0040 | relational vector constellation | is composed of | lemon association | | assertion |
F0041 | relational vector constellation | is composed of | contrast association | | assertion |
F0042 | relational vector constellation | is composed of | sharpness association | | assertion |
F0043 | relational vector constellation | is composed of | aversion association | | assertion |
F0044 | relational vector constellation | influences | subsequent processing | | assertion |
F0045 | subsequent-processing influence | is described as | Downward Causation | | hedged-assertion |
F0046 | F0045 | is offered as | figurative | | assertion |
F0047 | subsequent processing | produces | consistent behavioral output | | assertion |
F0048 | system | experiences | sourness-quale | | assertion |
F0049 | F0039 | is a sufficient condition for | F0048 | | assertion |
F0050 | F0044 | is a sufficient condition for | F0048 | | assertion |
F0051 | F0047 | is a sufficient condition for | F0048 | | assertion |
F0052 | content-quale | is qualified as | easy part | | assertion |
F0053 | Beingness-quale | is qualified as | core problem addressed by framework | | assertion |
F0054 | qualia | is not limited to | Beingness and sensory content | | denial |
F0055 | three levels (Section 2.2) | corresponds to | progressively richer qualia | | assertion |
F0056 | "I am good" formula | is classified as | verbal encoding of moral-agency-quale | | definition |
F0057 | "I am good" formula | is composed of | Beingness-level (am) | | assertion |
F0058 | "I am good" formula | is composed of | Agency-level (I) | | assertion |
F0059 | "I am good" formula | is composed of | common-good orientation (good) | | assertion |
F0060 | Beingness-level | is a necessary condition for | Agency-level | | assertion |
F0061 | Agency-level | is a necessary condition for | common-good orientation | | assertion |
F0062 | redness-quale rides on Beingness-quale | is analogous to | moral-goodness rides on Beingness-and-Agency | | assertion |
