# state after step 4   (field 40 words)
F0001 | the unknown x | is in the field of | student | 0.51 | assertion | carried; cost 1
F0002 | the square root | is in the field of | student | 0.40 | assertion | sensory; cost 7
F0003 | a quadratic equation | is in the field of | student | 0.36 | assertion | sensory; cost 3
F0004 | the discriminant | is in the field of | student | 0.36 | assertion | sensory; cost 26
F0005 | a linear equation | is in the field of | student | 0.31 | assertion | carried; cost 3
F0006 | student | has tail statistic | intensity | 0.59 | assertion | -
F0007 | student | has tail statistic | valence | 0.59 | assertion | -
F0008 | student | has tail statistic | count | 2.00 | assertion | -
F0009 | student | has tail statistic | spread | 0.48 | assertion | -
F0010 | the unknown x | is in memory of | student | 0.51 | assertion | cost 1
F0011 | the square root | is in memory of | student | 0.40 | assertion | cost 7
F0012 | a quadratic equation | is in memory of | student | 0.36 | assertion | cost 3
F0013 | the discriminant | is in memory of | student | 0.36 | assertion | cost 26
F0014 | a linear equation | is in memory of | student | 0.31 | assertion | cost 3
F0015 | expanding brackets | is in memory of | student | 0.40 | assertion | cost 13
F0016 | a root of the equation | is in memory of | student | 0.29 | assertion | cost 6
F0017 | two roots, one root, or none | is in memory of | student | 0.29 | assertion | cost 8
F0018 | the area of a square | is in memory of | student | 0.30 | assertion | cost 4

# trace — the analyst's view, not the reader's
#   evicted expanding brackets (0.34): no room: 13 words, 3.0 left
#   evicted a root of the equation (0.31): no room: 6 words, 3.0 left
#   evicted two roots, one root, or none (0.31): no room: 8 words, 3.0 left
#   evicted a worked example (0.20): no room: 2 words, 0.0 left
#   understood: a quadratic equation
#   understood: the discriminant
#   felt complex numbers: 0.09
#   felt the fundamental theorem of algebra: 0.12
#   felt Vieta's theorem: 0.09
