# state after step 10   (field 24 words)
F0001 | an algorithm | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0002 | anyone can follow it without knowing why | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0003 | a computer only follows algorithms | is in the field of | child | 0.36 | assertion | sensory; cost 5
F0004 | a bug | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0005 | doing it yourself | is in the field of | child | 0.30 | assertion | sensory; cost 3
F0006 | steps done one after another | is in the field of | child | 0.29 | assertion | carried; cost 4
F0007 | every step must be exact | is in the field of | child | 0.29 | assertion | carried; cost 2
F0008 | child | has tail statistic | intensity | 0.00 | assertion | -
F0009 | child | has tail statistic | valence | 0.00 | assertion | -
F0010 | child | has tail statistic | count | 0.00 | assertion | -
F0011 | child | has tail statistic | spread | 0.00 | assertion | -
F0012 | an algorithm | is in memory of | child | 0.36 | assertion | cost 2
F0013 | anyone can follow it without knowing why | is in memory of | child | 0.36 | assertion | cost 6
F0014 | a computer only follows algorithms | is in memory of | child | 0.36 | assertion | cost 5
F0015 | a bug | is in memory of | child | 0.36 | assertion | cost 2
F0016 | doing it yourself | is in memory of | child | 0.30 | assertion | cost 3
F0017 | steps done one after another | is in memory of | child | 0.29 | assertion | cost 4
F0018 | every step must be exact | is in memory of | child | 0.29 | assertion | cost 2
F0019 | it must come to an end | is in memory of | child | 0.27 | assertion | cost 6
F0020 | same steps, same result every time | is in memory of | child | 0.27 | assertion | cost 6
F0021 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0022 | following instructions | is in memory of | child | 0.40 | assertion | cost 2
F0023 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0024 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0025 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0026 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0027 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3

# trace — the analyst's view, not the reader's
#   evicted it must come to an end (0.29): no room: 6 words, 0.0 left
#   evicted same steps, same result every time (0.29): no room: 6 words, 0.0 left
#   evicted a computer (0.26): no room: 2 words, 0.0 left
#   evicted a game (0.21): no room: 2 words, 0.0 left
#   evicted you try it (0.20): no room: 3 words, 0.0 left
#   understood: an algorithm
#   understood: anyone can follow it without knowing why
#   understood: a computer only follows algorithms
#   understood: a bug
#   felt a Turing machine: 0.32
#   felt the halting problem: 0.23
#   felt formal semantics: 0.25
