# heading: Raskolnikov, Crime and Punishment Part 1 — encoded in the CURRENT case schema only
#
# Source: Synthea/docs/functional_decomposition_raskolnikov.md. This is a MEASUREMENT encoding: it uses no
# relation the library does not already have, so that what fails to derive names a real gap rather than a
# missing row. Where the document says something the schema cannot hold, the row is omitted and listed in
# the gap report — never approximated into a different claim.

# --- case R: Raskolnikov before the murder
F0001 | Raskolnikov | is a case of | cognitive system | - | assertion | case R

# The six determinants. The schema has no `is a determinant of` and no per-standpoint access grade, so each
# is entered as a stimulus — which keeps its evaluative role but LOSES its causal-trace role entirely.
F0010 | extreme poverty | is a stimulus in | Raskolnikov | - | assertion | determinant 1
F0011 | the article on extraordinary people | is a stimulus in | Raskolnikov | - | assertion | determinant 2
F0012 | the letter from his mother | is a stimulus in | Raskolnikov | - | assertion | determinant 3
F0013 | the meeting with Marmeladov | is a stimulus in | Raskolnikov | - | assertion | determinant 4
F0014 | the overheard tavern conversation | is a stimulus in | Raskolnikov | - | assertion | determinant 5
F0015 | illness and fever | is a stimulus in | Raskolnikov | - | assertion | determinant 6

# Needs. Weights are the document's ranking read off its own prose, not measurements.
F0020 | need for moral integrity | is a need of | Raskolnikov | 0.9 | assertion | -
F0021 | need for moral integrity | is active in | Raskolnikov | - | assertion | -
F0022 | need for the family's welfare | is a need of | Raskolnikov | 0.8 | assertion | -
F0023 | need for the family's welfare | is active in | Raskolnikov | - | assertion | activated by the letter
F0024 | need to be an extraordinary person | is a need of | Raskolnikov | 0.7 | assertion | -
F0025 | need to be an extraordinary person | is active in | Raskolnikov | - | assertion | activated by the article
F0026 | need for material survival | is a need of | Raskolnikov | 0.6 | assertion | -
F0027 | need for material survival | is active in | Raskolnikov | - | assertion | -
F0028 | need for social belonging | is a need of | Raskolnikov | 0.4 | assertion | present but not active
F0029 | need for self-preservation | is a need of | Raskolnikov | 0.5 | assertion | -
F0030 | need for self-preservation | is active in | Raskolnikov | - | assertion | -

# The proposed action, evaluated against every active need. This is where the two theories of common good
