# state after step 2   (field 24 words)
F0001 | a robot | is in the field of | child | 0.40 | assertion | sensory; cost 4
F0002 | making a sandwich | is in the field of | child | 0.40 | assertion | sensory; cost 3
F0003 | brushing your teeth | is in the field of | child | 0.40 | assertion | carried; cost 3
F0004 | every step must be exact | is in the field of | child | 0.36 | assertion | sensory; cost 12
F0005 | a silly robot | is in the field of | child | 0.21 | assertion | associative via a robot; cost 2
F0006 | child | has tail statistic | intensity | 0.00 | assertion | -
F0007 | child | has tail statistic | valence | 0.00 | assertion | -
F0008 | child | has tail statistic | count | 0.00 | assertion | -
F0009 | child | has tail statistic | spread | 0.00 | assertion | -
F0010 | a robot | is in memory of | child | 0.40 | assertion | cost 4
F0011 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3
F0012 | brushing your teeth | is in memory of | child | 0.40 | assertion | cost 3
F0013 | every step must be exact | is in memory of | child | 0.36 | assertion | cost 12
F0014 | a silly robot | is in memory of | child | 0.21 | assertion | cost 2
F0015 | steps done one after another | is in memory of | child | 0.27 | assertion | cost 16
F0016 | following instructions | is in memory of | child | 0.40 | assertion | cost 2
F0017 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0018 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0019 | a computer | is in memory of | child | 0.40 | assertion | cost 2

# trace — the analyst's view, not the reader's
#   evicted steps done one after another (0.29): no room: 16 words, 2.0 left
#   evicted lunch (0.08): below k
#   understood: every step must be exact
#   felt a Turing machine: 0.00
#   felt the halting problem: 0.00
#   felt formal semantics: 0.22
