# state after step 2   (field 21 words)

# --- field of consciousness: what the reader can report
F0001 | the eye | is in the field of | thinker | 0.50 | assertion | sensory; cost 2
F0002 | the brain | is in the field of | thinker | 0.50 | assertion | sensory; cost 2
F0003 | light and wavelength | is in the field of | thinker | 0.42 | assertion | carried; cost 3
F0004 | red as a pattern in the brain | is in the field of | thinker | 0.39 | assertion | sensory; cost 7
F0005 | red as a wavelength | is in the field of | thinker | 0.35 | assertion | carried; cost 4
F0006 | an apple | is in the field of | thinker | 0.34 | assertion | carried; cost 2
F0007 | red | is in the field of | thinker | 0.20 | assertion | sensory; cost 1
F0008 | red as a pattern in the brain | attracts | thinker | very much | assertion | the motivational component of the image, as a proportion of the Field's pull
F0009 | red as a wavelength | attracts | thinker | very much | assertion | the motivational component of the image, as a proportion of the Field's pull
F0010 | thinker | wants more | red as a pattern in the brain than red as a wavelength | somewhat | assertion | the comparison the reader can actually make
F0011 | thinker | has consciousness components | 2 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0012 | thinker | wants | red as a wavelength, red as a pattern in the brain | - | assertion | retrospective: what pulled over the last steps, named by the images
F0013 | thinker | is surprised by itself | 0 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0014 | thinker | has tail statistic | intensity | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0015 | thinker | has tail statistic | valence | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0016 | thinker | has tail statistic | count | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0017 | thinker | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0018 | thinker | does | reads on | - | assertion | the program that has the channel
F0019 | thinker | attends to | reality | 0.40 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.10

F0020 | thinker | has items at control levels | L1 4, L4 7, L5 2 | - | assertion | 1 reacted only; 2 conscious as something, gone; 4 named; 5 related; 6 generative. L3 not representable yet

# --- long-term memory
F0021 | the eye | is in memory of | thinker | 0.50 | assertion | cost 2
F0022 | the brain | is in memory of | thinker | 0.50 | assertion | cost 2
F0023 | light and wavelength | is in memory of | thinker | 0.42 | assertion | cost 3
F0024 | red as a pattern in the brain | is in memory of | thinker | 0.39 | assertion | cost 7
F0025 | red as a wavelength | is in memory of | thinker | 0.35 | assertion | cost 4
F0026 | an apple | is in memory of | thinker | 0.34 | assertion | cost 2
F0027 | red | is in memory of | thinker | 0.20 | assertion | cost 1
F0028 | the word red | is in memory of | thinker | 0.60 | assertion | cost 3
F0029 | other people | is in memory of | thinker | 0.50 | assertion | cost 2
F0030 | red as a wavelength | has pulled | thinker | 0.60 | assertion | what the retrospective 'wants' is made of
F0031 | red as a pattern in the brain | has pulled | thinker | 0.39 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: none 5, understanding 2
#   pull of each image: red as a pattern in the brain +0.39, red as a wavelength +0.39
#   the reader's 'wants' resolves to understanding; the program is understanding
F0032 | red as a wavelength | has satisfaction delta | understanding | 0.45 | assertion | understood
F0033 | red as a pattern in the brain | has satisfaction delta | understanding | 0.45 | assertion | understood
F0034 | understanding | has satisfaction level | 0.154 | - | assertion | need state
F0035 | coherence | has satisfaction level | 0.300 | - | assertion | need state
F0036 | a puzzle | has satisfaction level | 0.400 | - | assertion | need state
F0037 | safety | has satisfaction level | 0.950 | - | assertion | need state
F0038 | thinker | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0039 | thinker | has conflict level | 0.00 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   seeing (0.10): below k
#   neurons (0.10): below k
#   blood (0.10): below k
#   fire (0.08): below k

# --- trace
#   active needs: a puzzle, coherence, understanding
#   understood: red as a pattern in the brain
#   need mass in the Field: understanding 0.78
#   mode reality: reality yield 0.40, fantasy yield 0.10
#   felt qualia: 0.00
#   felt the hard problem: 0.00
#   felt the explanatory gap: 0.00
#   felt the inverted spectrum: 0.00
#   self-model: predicted light and wavelength, the eye, red as a wavelength, an apple; program understanding
#   control levels: red as a pattern in the brain L5, red as a wavelength L5, the eye L4, the brain L4, light and wavelength L4, an apple L4, red L4, the word red L4, other people L4, seeing L1, neurons L1, blood L1, fire L1
