# state after step 6   (field 14 words)
F0001 | the pattern from many tries | is in the field of | child | 0.36 | assertion | sensory; cost 9
F0002 | tiny things | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0003 | looking at it | is in the field of | child | 0.36 | assertion | sensory; cost 3
F0004 | child | has tail statistic | intensity | 0.00 | assertion | -
F0005 | child | has tail statistic | valence | 0.00 | assertion | -
F0006 | child | has tail statistic | count | 0.00 | assertion | -
F0007 | child | has tail statistic | spread | 0.00 | assertion | -
F0008 | the pattern from many tries | is in memory of | child | 0.36 | assertion | cost 9
F0009 | tiny things | is in memory of | child | 0.36 | assertion | cost 2
F0010 | looking at it | is in memory of | child | 0.36 | assertion | cost 3
F0011 | you cannot know which until you look | is in memory of | child | 0.25 | assertion | cost 7

# trace — the analyst's view, not the reader's
#   evicted you cannot know which until you look (0.29): displaced by looking at it
#   evicted heads or tails (0.20): displaced by looking at it
#   evicted ants (0.10): below k
#   understood: the pattern from many tries
#   understood: tiny things
#   understood: looking at it
#   felt wavefunction: 0.00
#   felt probability amplitude: 0.26
#   felt collapse: 0.00
