# state after step 9   (field 36 words)

# --- field of consciousness: what the reader can report
F0001 | a quadratic equation | is in the field of | student | 0.36 | assertion | sensory; cost 3
F0002 | a root of the equation | is in the field of | student | 0.36 | assertion | sensory; cost 2
F0003 | checking a root by substitution | is in the field of | student | 0.36 | assertion | sensory; cost 3
F0004 | two roots, one root, or none | is in the field of | student | 0.36 | assertion | sensory; cost 5
F0005 | the discriminant | is in the field of | student | 0.36 | assertion | sensory; cost 2
F0006 | the sign of the discriminant tells how many roots | is in the field of | student | 0.36 | assertion | sensory; cost 9
F0007 | the quadratic formula | is in the field of | student | 0.36 | assertion | sensory; cost 2
F0008 | why the formula works | is in the field of | student | 0.36 | assertion | sensory; cost 4
F0009 | the unknown x | is in the field of | student | 0.26 | assertion | carried; cost 1
F0010 | a formula to memorise | is in the field of | student | 0.26 | assertion | associative via a formula; cost 2
F0011 | the square root | is in the field of | student | 0.21 | assertion | carried; cost 1
F0012 | a formula | is in the field of | student | 0.20 | assertion | sensory; cost 1
F0013 | why | is in the field of | student | 0.20 | assertion | sensory; cost 1
F0014 | a quadratic equation | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0015 | a root of the equation | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0016 | checking a root by substitution | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0017 | two roots, one root, or none | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0018 | the discriminant | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0019 | the sign of the discriminant tells how many roots | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0020 | the quadratic formula | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0021 | why the formula works | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0022 | student | wants more | a quadratic equation than a root of the equation | somewhat | assertion | the comparison the reader can actually make
F0023 | student | has consciousness components | 3 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0024 | student | wants | a root of the equation, a quadratic equation, two roots, one root, or none | - | assertion | retrospective: what pulled over the last steps, named by the images
F0025 | student | is surprised by itself | 0 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0026 | student | notices about itself | came to mind | - | assertion | a kind of self-surprise seen more than once has become a name
F0027 | student | has tail statistic | intensity | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0028 | student | has tail statistic | valence | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0029 | student | has tail statistic | count | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0030 | student | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0031 | student | does | reads on | - | assertion | the program that has the channel
F0032 | student | attends to | reality | 0.33 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.10

F0033 | student | has met self-surprise | came to mind | 2 | assertion | objective: how often this kind has occurred
F0034 | student | has met self-surprise | forgot | 1 | assertion | objective: how often this kind has occurred
