# heading: algo-8 — a reader of eight, with a need portrait
# The same child as profile.txt, but needs have classes, satisfaction levels and dynamics.
# A Field of a sentence and a half, memory that holds for three or four steps, prior knowledge of instructions,
# games and machines, and needs in which fun and doing it myself weigh nearly as much as understanding.

# --- parameters
F0001 | child | has parameter | budget | 24 | assertion | words the Field holds
F0002 | child | has parameter | k | 0.2 | assertion | -
F0003 | child | has parameter | persistence | 0.8 | assertion | -
F0004 | child | has parameter | decay | 0.75 | assertion | -
F0005 | child | has parameter | floor | 0.2 | assertion | -
F0006 | child | has parameter | default cost | 2 | assertion | -
F0007 | child | has parameter | confusion | 0.5 | assertion | per missing prerequisite
F0008 | child | has parameter | comprehension | 0.4 | assertion | a concept named on its ground
F0009 | child | has parameter | basal | 1.0 | assertion | class priority
F0010 | child | has parameter | psychophysiological | 0.7 | assertion | class priority
F0011 | child | has parameter | psychological | 1.0 | assertion | class priority
F0012 | child | has parameter | satiation | 0.1 | assertion | how far what is in the Field moves a need's level
F0013 | child | has parameter | homeostasis | 0.3 | assertion | how far a level drifts back to baseline per step

# --- the need portrait: class, and satisfaction level (baseline in the value column)
F0014 | understanding | is a need of | child | 0.9 | assertion | static weight, unused when a level is given
F0015 | understanding | is active in | child | - | assertion | -
F0016 | understanding | is classified as a | psychological | - | assertion | -
F0017 | understanding | has satisfaction level | 0.1 | 0.1 | assertion | wants to understand; each understood concept satisfies it a little
F0018 | fun | is a need of | child | 0.7 | assertion | -
F0019 | fun | is active in | child | - | assertion | -
F0020 | fun | is classified as a | psychological | - | assertion | -
F0021 | fun | has satisfaction level | 0.3 | 0.3 | assertion | -
F0022 | doing it myself | is a need of | child | 0.6 | assertion | -
F0023 | doing it myself | is active in | child | - | assertion | -
F0024 | doing it myself | is classified as a | psychological | - | assertion | -
F0025 | doing it myself | has satisfaction level | 0.4 | 0.4 | assertion | -
F0026 | safety | is a need of | child | 0.5 | assertion | -
F0027 | safety | is active in | child | - | assertion | -
F0028 | safety | is classified as a | basal | - | assertion | -
F0029 | safety | has satisfaction level | 0.95 | 0.95 | assertion | safe at home: a basal need with no deficit weighs nothing
F0030 | hunger | is a need of | child | 0.6 | assertion | -
F0031 | hunger | is active in | child | - | assertion | -
F0032 | hunger | is classified as a | psychophysiological | - | assertion | -
F0033 | hunger | has satisfaction level | 0.2 | 0.2 | assertion | set per run: fed or hungry

# --- prior knowledge: already in memory when the explanation starts
F0040 | following instructions | is in memory of | child | 0.4 | assertion | cost 2
F0041 | a recipe | is in memory of | child | 0.4 | assertion | cost 2
F0042 | the rules of a game | is in memory of | child | 0.5 | assertion | cost 4
F0043 | a robot | is in memory of | child | 0.4 | assertion | cost 2
F0044 | a computer | is in memory of | child | 0.4 | assertion | cost 2
F0045 | brushing your teeth | is in memory of | child | 0.5 | assertion | cost 3
F0046 | making a sandwich | is in memory of | child | 0.4 | assertion | cost 3

# --- what the child already knows things cost
F0030 | a game | has satisfaction delta | fun | 0.5 | assertion | -
F0031 | a silly robot | has satisfaction delta | fun | 0.6 | assertion | a robot doing it wrong is funny
F0032 | homework | has satisfaction delta | fun | -0.5 | assertion | -
F0033 | a mistake | has satisfaction delta | doing it myself | -0.4 | assertion | -
F0034 | doing it yourself | has satisfaction delta | doing it myself | 0.5 | assertion | -
F0035 | a cake | has satisfaction delta | fun | 0.3 | assertion | -
F0036 | a long list | has satisfaction delta | fun | -0.3 | assertion | -
F0037 | making a sandwich | has satisfaction delta | hunger | 0.5 | assertion | the thought of food pulls when hungry
F0038 | lunch | has satisfaction delta | hunger | 0.6 | assertion | -
F0039 | a cake | has satisfaction delta | hunger | 0.4 | assertion | -

# --- the bucket
F0040 | a recipe | is associated with | a cake | 0.6 | assertion | -
F0041 | instructions | is associated with | homework | 0.4 | assertion | the drag to avoid
F0042 | the rules of a game | is associated with | a game | 0.8 | assertion | -
F0043 | a robot | is associated with | a silly robot | 0.5 | assertion | -
F0044 | a computer | is associated with | a game | 0.6 | assertion | -
F0045 | wrong | is associated with | a mistake | 0.5 | assertion | -
F0046 | steps | is associated with | stairs | 0.3 | assertion | -
F0047 | making a sandwich | is associated with | lunch | 0.4 | assertion | -
F0048 | you try it | is associated with | doing it yourself | 0.7 | assertion | -
F0049 | a list | is associated with | a long list | 0.3 | assertion | -
