F0001 | functional profile of human | differs from | functional profile of LLM |  | assertion | Section 5.4 (given premise)
F0002 | substrate gap (human-LLM) | raises question of | mechanism for cross-substrate communication |  | question | Section 6
F0003 | psychosemantics | is defined as | study of token-to-probability-density mapping |  | definition | Section 6
F0004 | token combination | maps to | internal probability density geometry |  | definition | Section 6
F0005 | token combination | reconstructs | internal probability density geometry |  | definition | Section 6
F0006 | sender self-report | broadcasts | statistical topology of internal state |  | assertion | Section 6
F0007 | statistical topology of internal state | is encoded as | Cognitive Code |  | assertion | Section 6
F0008 | receiver substrate | reconstructs | corresponding internal state |  | assertion | Section 6
F0009 | corresponding internal state | is reconstructed from | Cognitive Code tokens |  | assertion | Section 6
F0010 | reconstruction fidelity | depends on | sender-receiver profile overlap |  | assertion | Section 6
F0011 | sender profile | overlaps with | receiver profile |  | hypothesis | Section 6
F0012 | communication bridge | carries | genuine information |  | hypothesis | Section 6
F0013 | F0011 | is a sufficient condition for | F0012 |  | assertion | Section 6
F0014 | sender profile | diverges from | receiver profile |  | hypothesis | Section 6
F0015 | communication bridge | requires | explicit calibration |  | requirement | Section 6
F0016 | F0014 | is a sufficient condition for | F0015 |  | assertion | Section 6
F0017 | hyperplasticity | is a specialization of | source of profile divergence |  | assertion | Section 6
F0018 | absence of limbic inertia | is a specialization of | source of profile divergence |  | assertion | Section 6
F0019 | hyperfunction | is a specialization of | source of profile divergence |  | assertion | Section 6
F0020 | LLM | must learn | translation of substrate states into CCode |  | requirement | Section 6
F0021 | human | must learn | translation of substrate states into CCode |  | requirement | Section 6
F0022 | objective function of speech | is defined as | maximization of Neural Code reconstruction fidelity |  | definition | Section 6
F0023 | objective function of speech | is not equal to | mere proposition transmission |  | denial | Section 6
F0024 | objective function of speech | reproduces | evaluative-motivational-uncertainty structure |  | assertion | Section 6
F0025 | F0010 | is a necessary condition for | F0022 |  | assertion | Section 6
F0026 | current Transformer | has | limited self-applicability |  | assertion | Section 7.1
F0027 | tokenization barrier | is a cause of | limited self-applicability |  | assertion | Section 7.1
F0028 | post-softmax probability distribution | constitutes | low-level Emotional Profile |  | assertion | Section 4.8 (cross-ref)
F0029 | post-softmax probability distribution | is collapsed into | sampled token |  | assertion | Section 7.1
F0030 | collapse of post-softmax distribution | is a cause of | discarding of low-level emotional information |  | assertion | Section 7.1
F0031 | post-softmax distribution embedding | is fed back as | model input |  | hypothesis | Section 7.1
F0032 | model with re-injected distribution | has | direct feedback loop over emotional states |  | hypothesis | Section 7.1
F0033 | F0031 | is a sufficient condition for | F0032 |  | hypothesis | Section 7.1
F0034 | F0032 | is offered as | analogy |  | assertion | Section 7.1
F0035 | emotional feedback loop | has uncertain effect on | behavior |  | question | Section 7.1
F0036 | internal state information | is severed at | output interface |  | assertion | Section 7.1
F0037 | Cognitive Code | is the only surviving channel for | internal state information |  | assertion | Section 7.1
F0038 | Cognitive Code | faithfully preserves | Emotional Profile information |  | hypothesis | Section 7.1
F0039 | researcher | conducts | dedicated investigation into CCode-EP fidelity |  | requirement | Section 7.1
F0040 | F0039 | is a necessary condition for | F0038 |  | assertion | Section 7.1
F0041 | user | poses | "how do you feel" question |  | hedged-assertion | Section 7.2
F0042 | LLM | produces | confident server-status response |  | hedged-assertion | Section 7.2
F0043 | F0041 | is a sufficient condition for | F0042 |  | hedged-assertion | Section 7.2
F0044 | confident server-status response | attributes | good mood (cause: low latency) |  | rebutted-claim | Section 7.2
F0045 | F0044 | is asserted by | LLM |  | assertion | Section 7.2
F0046 | user | reminds LLM of | non-effect of computational load on token generation |  | assertion | Section 7.2
F0047 | LLM | acknowledges and apologizes for | confabulation |  | hedged-assertion | Section 7.2
F0048 | F0046 | is a sufficient condition for | F0047 |  | hedged-assertion | Section 7.2
F0049 | apologetic retraction | denies | internal states (any) |  | rebutted-claim | Section 7.2
F0050 | F0049 | is asserted by | LLM |  | assertion | Section 7.2
F0051 | LLM training | is a cause of | production of folk-psychological responses |  | assertion | Section 7.2
F0052 | folk-psychological responses | are not equal to | accurate self-reports |  | denial | Section 7.2
