# state after step 7   (field 23 words)

# --- field of consciousness: what the reader can report
F0001 | a computer | is in the field of | child | 0.40 | assertion | sensory; cost 2
F0002 | a computer only follows algorithms | is in the field of | child | 0.36 | assertion | sensory; cost 5
F0003 | anyone can follow it without knowing why | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0004 | an algorithm | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0005 | every step must be exact | is in the field of | child | 0.29 | assertion | carried; cost 2
F0006 | steps done one after another | is in the field of | child | 0.29 | assertion | carried; cost 4
F0007 | a game | is in the field of | child | 0.21 | assertion | associative via a computer; cost 2
F0008 | a computer only follows algorithms | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0009 | anyone can follow it without knowing why | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0010 | an algorithm | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0011 | every step must be exact | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0012 | steps done one after another | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0013 | a game | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0014 | child | wants more | a computer only follows algorithms than anyone can follow it without knowing why | somewhat | assertion | the comparison the reader can actually make
F0015 | child | has consciousness components | 3 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0016 | child | wants | steps done one after another, same steps, same result every time, every step must be exact | - | assertion | retrospective: what pulled over the last steps, named by the images
F0017 | child | is surprised by itself | 2 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0018 | child | notices about itself | forgot | - | assertion | a kind of self-surprise seen more than once has become a name
F0019 | child | has tail statistic | intensity | 0.72 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0020 | child | has tail statistic | valence | 0.72 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0021 | child | has tail statistic | count | 2.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0022 | child | has tail statistic | spread | 0.50 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0023 | child | does | reads on | - | assertion | the program that has the channel
F0024 | child | attends to | reality | 0.36 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.00

F0025 | child | has met self-surprise | forgot | 3 | assertion | objective: how often this kind has occurred
F0026 | child | has met self-surprise | came to mind | 1 | assertion | objective: how often this kind has occurred

# --- long-term memory
F0027 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0028 | a computer only follows algorithms | is in memory of | child | 0.36 | assertion | cost 5
F0029 | anyone can follow it without knowing why | is in memory of | child | 0.36 | assertion | cost 6
F0030 | an algorithm | is in memory of | child | 0.36 | assertion | cost 2
F0031 | every step must be exact | is in memory of | child | 0.29 | assertion | cost 2
F0032 | steps done one after another | is in memory of | child | 0.29 | assertion | cost 4
F0033 | a game | is in memory of | child | 0.21 | assertion | cost 2
F0034 | it must come to an end | is in memory of | child | 0.27 | assertion | cost 6
F0035 | following instructions | is in memory of | child | 0.40 | assertion | cost 2
F0036 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0037 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0038 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0039 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0040 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3
F0041 | steps done one after another | has pulled | child | 0.72 | assertion | what the retrospective 'wants' is made of
F0042 | every step must be exact | has pulled | child | 0.71 | assertion | what the retrospective 'wants' is made of
